Ticker,Name,Weight,Shares,Price
LIVX UR Equity,LiveXLive Media Inc,--,--,4.5
EXPE UW Equity,Expedia Group Inc,--,--,165.57
PACK UN Equity,Ranpak Holdings Corp,--,--,23.99
DISCA UW Equity,Discovery Inc,--,--,30.34
CF UN Equity,CF Industries Holdings Inc,--,--,49.84
LDOS UN Equity,Leidos Holdings Inc,--,--,101.39
TNL UN Equity,Travel + Leisure Co,--,--,58.28
FSLR UW Equity,First Solar Inc,--,--,91.19
EBF UN Equity,Ennis Inc,--,--,21.15
DFS UN Equity,Discover Financial Services,--,--,117.77
TRIP UW Equity,TripAdvisor Inc,--,--,39.41
V UN Equity,Visa Inc,--,--,239.6
LC UN Equity,LendingClub Corp,--,--,17.13
XYL UN Equity,Xylem Inc/NY,--,--,120.46
MPC UN Equity,Marathon Petroleum Corp,--,--,58.97
FFWM UQ Equity,First Foundation Inc,--,--,22.35
ACBI UW Equity,Atlantic Capital Bancshares Inc,--,--,24.74
BLNK UR Equity,Blink Charging Co,--,--,37.83
FORA UR Equity,Forian Inc,--,--,12.34
AQB UR Equity,AquaBounty Technologies Inc,--,--,5.42
NBEV UR Equity,NewAge Inc,--,--,2.27
CSR UN Equity,Centerspace,--,--,80.88
BLMN UW Equity,Bloomin' Brands Inc,--,--,26.92
XOMA UQ Equity,XOMA Corp,--,--,34.01
VEL UN Equity,Velocity Financial Inc,--,--,11.62
SNDX UW Equity,Syndax Pharmaceuticals Inc,--,--,16.67
LGF/B UN Equity,Lions Gate Entertainment Corp,--,--,17.89
STEP UW Equity,StepStone Group Inc,--,--,35.82
OUST UN Equity,Ouster Inc,--,--,11.98
SNOW UN Equity,Snowflake Inc,--,--,239.05
FROG UW Equity,JFrog Ltd,--,--,47.46
VIRT UW Equity,Virtu Financial Inc,--,--,28.28
ETSY UW Equity,Etsy Inc,--,--,197.81
PRTY UN Equity,Party City Holdco Inc,--,--,9.28
CACI UN Equity,CACI International Inc,--,--,256.33
LBC UW Equity,Luther Burbank Corp,--,--,12.03
DNLI UW Equity,Denali Therapeutics Inc,--,--,77.83
ALEC UW Equity,Alector Inc,--,--,39.44
DXC UN Equity,DXC Technology Co,--,--,39.21
FBK UN Equity,FB Financial Corp,--,--,36.23
NTB UN Equity,Bank of NT Butterfield & Son Ltd/The,--,--,35.52
KALA UW Equity,Kala Pharmaceuticals Inc,--,--,4.8
